,prices,address,bed_bath_sqft,links
29,499000.0, 12806 Blackfoot Trl Austin TX 78729 , 4|5|3188 ,12806 Blackfoot Trl Austin TX 78729
30,825000.0, 5702 Rising Hills Dr Austin TX 78759 ," 3|3|1872<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",5702 Rising Hills Dr Austin TX 78759
31,699000.0, 1600 Barton Springs Rd UNIT 2403 Austin TX 78704 ," 3|2|1469<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",1600 Barton Springs Rd UNIT 2403 Austin TX 78704
32,549900.0, 8100 S 1st St Austin TX 78748 ," 2|1|736<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",8100 S 1st St Austin TX 78748
33,175000.0, 2124 Burton Dr APT 129 Austin TX 78741 ," 3|2|2305<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2124 Burton Dr APT 129 Austin TX 78741
34,450000.0, 11320 Conchos River Trl Austin TX 78717 ," 3|2|1750<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",11320 Conchos River Trl Austin TX 78717
35,500000.0, 10801 Pinehurst Dr #B Austin TX 78747 ," 3|2|1402<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",10801 Pinehurst Dr #B Austin TX 78747
36,799000.0, 260 Trinity Hills Dr Austin TX 78737 ," 4|3|2188<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",260 Trinity Hills Dr Austin TX 78737
37,1190000.0, 2105 Nickerson St Austin TX 78704 ," 3|3|1705<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2105 Nickerson St Austin TX 78704
38,775000.0, 7421 Cordoba Dr Austin TX 78724 , 4|5|3188 ,7421 Cordoba Dr Austin TX 78724
39,585000.0, 11510 Gun Fight Ln Austin TX 78748 ," 3|3|1872<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",11510 Gun Fight Ln Austin TX 78748
40,699000.0, 8307 Avocet Dr Austin TX 78745 ," 3|2|1469<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",8307 Avocet Dr Austin TX 78745
41,425000.0, 8312 Gallatin Dr Austin TX 78736 ," 2|1|736<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",8312 Gallatin Dr Austin TX 78736
42,488990.0, Wilson II Plan Pioneer Crossing East ," 3|2|2305<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",Wilson II Plan Pioneer Crossing East
43,205000.0, 2220 Webberville Rd #221 Austin TX 78702 ," 3|2|1750<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2220 Webberville Rd #221 Austin TX 78702
44,900000.0, 4427 Banister Ln #1 Austin TX 78745 ," 3|2|1402<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",4427 Banister Ln #1 Austin TX 78745
45,612000.0, 6012 Wilcott Ct Austin TX 78745 ," 4|3|2188<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",6012 Wilcott Ct Austin TX 78745
46,895000.0, 4710 Mount Vernon Dr #A Austin TX 78745 ," 3|3|1705<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",4710 Mount Vernon Dr #A Austin TX 78745
47,450000.0, 9518 Topridge Dr APT 18 Austin TX 78750 , 4|5|3188 ,9518 Topridge Dr APT 18 Austin TX 78750
48,389000.0, 900 S Lamar Blvd APT 306 Austin TX 78704 ," 3|3|1872<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",900 S Lamar Blvd APT 306 Austin TX 78704
49,615000.0, 2101 Kirksey Dr Austin TX 78741 ," 3|2|1469<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2101 Kirksey Dr Austin TX 78741
50,290000.0, 2520 Quarry Rd APT 307 Austin TX 78703 ," 2|1|736<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2520 Quarry Rd APT 307 Austin TX 78703
51,478500.0, 912 Philco Dr #2 Austin TX 78745 ," 3|2|2305<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",912 Philco Dr #2 Austin TX 78745
52,443000.0, 10603 Cooper Hill Dr Austin TX 78758 ," 3|2|1750<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",10603 Cooper Hill Dr Austin TX 78758
53,535000.0, 8820 Escabosa Dr Austin TX 78748 ," 3|2|1402<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",8820 Escabosa Dr Austin TX 78748
54,4500000.0, 9120 Brookhurst Cv Austin TX 78733 ," 4|3|2188<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",9120 Brookhurst Cv Austin TX 78733
55,285900.0, 12166 Metric Blvd APT 202 Austin TX 78758 ," 3|3|1705<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",12166 Metric Blvd APT 202 Austin TX 78758
56,460000.0, 5415 Darlington Ln Austin TX 78723 , 4|5|3188 ,5415 Darlington Ln Austin TX 78723
57,400000.0, 11024 Reliance Creek Dr Austin TX 78754 ," 3|3|1872<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",11024 Reliance Creek Dr Austin TX 78754
58,399000.0, 5701 Alsace Trl Austin TX 78724 ," 3|2|1469<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",5701 Alsace Trl Austin TX 78724
59,379999.0, 2005 Tramson Dr Austin TX 78741 ," 2|1|736<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2005 Tramson Dr Austin TX 78741
60,575000.0, 1812 West Ave SUITE 205 Austin TX 78701 ," 3|2|2305<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",1812 West Ave SUITE 205 Austin TX 78701
61,425000.0, 6102 Pennwood Ln Austin TX 78745 ," 3|2|1750<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",6102 Pennwood Ln Austin TX 78745
62,375000.0, 3101 Davis Ln #7203 Austin TX 78748 ," 3|2|1402<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",3101 Davis Ln #7203 Austin TX 78748
63,249900.0, 6213 Vera Ln Austin TX 78741 ," 4|3|2188<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",6213 Vera Ln Austin TX 78741
64,775000.0, 4429 Gillis St #2 Austin TX 78745 ," 3|3|1705<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",4429 Gillis St #2 Austin TX 78745
65,399000.0, 5807 Coventry Ln Austin TX 78723 , 4|5|3188 ,5807 Coventry Ln Austin TX 78723
66,787000.0, 6803 Lexington Rd Austin TX 78757 ," 3|3|1872<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",6803 Lexington Rd Austin TX 78757
67,5200000.0, 1115 W 11th St UNIT 2 Austin TX 78703 ," 3|2|1469<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",1115 W 11th St UNIT 2 Austin TX 78703
68,384900.0, 5804 Tracy Lynn Ln #A Austin TX 78721 ," 2|1|736<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",5804 Tracy Lynn Ln #A Austin TX 78721
69,1095000.0, 3115 Clawson Rd APT 402 Austin TX 78704 ," 3|2|2305<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",3115 Clawson Rd APT 402 Austin TX 78704
70,635000.0, 1128 Chicon St UNIT 200 Austin TX 78702 ," 3|2|1750<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",1128 Chicon St UNIT 200 Austin TX 78702
71,244650.0, 908 E 32nd St APT 101 Austin TX 78705 ," 3|2|1402<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",908 E 32nd St APT 101 Austin TX 78705
72,95000.0, 3802 Lower Dr Austin TX 78725 ," 4|3|2188<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",3802 Lower Dr Austin TX 78725
73,550000.0, 6016 La Naranja Ln Austin TX 78749 ," 3|3|1705<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",6016 La Naranja Ln Austin TX 78749
74,545000.0, 8017 Scotland Yard Austin TX 78759 , 4|5|3188 ,8017 Scotland Yard Austin TX 78759
75,425000.0, 12722 Blaine Rd Austin TX 78753 ," 3|3|1872<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",12722 Blaine Rd Austin TX 78753
76,625000.0, 3907 John Simpson Trl Austin TX 78732 ," 3|2|1469<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",3907 John Simpson Trl Austin TX 78732
77,669000.0, 7305 Blessing Ave #A Austin TX 78752 ," 2|1|736<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",7305 Blessing Ave #A Austin TX 78752
78,988800.0, 11402 Antler Bend Rd Austin TX 78737 ," 3|2|2305<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",11402 Antler Bend Rd Austin TX 78737
79,465000.0, 8509 Birmingham Dr Austin TX 78748 ," 3|2|1750<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",8509 Birmingham Dr Austin TX 78748
80,8500000.0, 2705 Island Ledge Cv Austin TX 78746 ," 3|2|1402<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2705 Island Ledge Cv Austin TX 78746
81,467419.0, 7104 Terrazzo Cottage Ct Austin TX 78744 ," 4|3|2188<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",7104 Terrazzo Cottage Ct Austin TX 78744
82,475000.0, 5309 Purple Sage Dr Austin TX 78724 ," 3|3|1705<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",5309 Purple Sage Dr Austin TX 78724
83,320000.0, 6413 Chimney Creek Cir #B-2 Austin TX 78723 , 4|5|3188 ,6413 Chimney Creek Cir #B-2 Austin TX 78723
84,725000.0, 3100 Corbin Ln Austin TX 78704 ," 3|3|1872<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",3100 Corbin Ln Austin TX 78704
85,2325000.0, 1111 W 12th St APT 118 Austin TX 78703 ," 3|2|1469<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",1111 W 12th St APT 118 Austin TX 78703
86,480000.0, 13441 Gent Dr Austin TX 78729 ," 2|1|736<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",13441 Gent Dr Austin TX 78729
87,825000.0, 10401 Skyflower Dr Austin TX 78759 ," 3|2|2305<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",10401 Skyflower Dr Austin TX 78759
88,585000.0, 1302 Morgan Ln #1 Austin TX 78704 ," 3|2|1750<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",1302 Morgan Ln #1 Austin TX 78704
89,199000.0, 2220 Webberville Rd #219 Austin TX 78702 ," 3|2|1402<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">-<abbr class=""list-card-label""> <!-- -->Active</abbr></li></ul>",2220 Webberville Rd #219 Austin TX 78702
